Id,SalePrice
2658,4303425546706.455
2718,4179687089229.8267
2414,4083692452375.968
1989,3520414133569.03
625,3697842364913.4463
333,3492375549699.8516
1327,3592816857245.723
858,3569641122143.5586
95,4317383206909.9478
1568,3659333204752.4316
2482,3631503368160.837
1364,3456515387319.1143
2584,3630924128458.414
818,5527833151979.109
2673,4335745186134.6353
2089,4129070083153.143
1297,3975822447236.5146
790,3344584530764.553
2616,4198663940999.7573
720,4286355516828.279
222,3453758977878.708
557,3358971349982.614
1148,3979455738792.5347
2766,3417775035245.84
534,3722039395311.6914
1452,3217907391935.6924
630,4396742106235.588
2648,4322671462398.748
125,3446978583041.068
1904,2885881459304.084
1670,3361967969061.734
756,3263821572726.909
717,5421810324097.566
1032,3623702026022.864
852,3935526856563.776
1731,4066961457451.9585
2639,3973559617973.111
2071,3630867224407.5127
1267,3629478664770.026
1851,3843204156412.471
567,3849796900241.461
2439,4428712612338.399
1898,3924527286824.5605
647,3828088810999.3784
2256,3855831321161.5566
979,3796661769538.7524
1444,4414544787461.404
2485,3302319831012.7695
157,3371582549121.171
88,3323227880573.421
2003,3480501641496.457
186,5189102679074.087
1425,4161874977881.7314
2695,3846135246285.8057
738,3566417721887.4014
395,3517044153449.622
1353,4102674289877.291
1878,3824144339838.301
390,3579042880553.037
1456,4578777136132.436
1103,4449280199935.348
1387,3377502750233.364
2070,3566794091383.643
1199,4141233501377.9204
2479,4163321106100.0957
501,4426302487693.513
2362,3050572973269.456
1718,3813972419793.542
2188,3189999079004.9946
1483,3327758638184.998
2557,3204660628711.3643
437,5070265125830.822
2224,3842162266661.658
1628,4099240894153.0103
397,3368319973852.8545
587,3987107384424.0483
971,4660502350860.115
2611,3542003926319.3384
1887,3439692643922.2754
2399,4254648099027.865
2148,3876945142120.698
304,3704432503709.467
1997,3928834948706.3125
2817,4103413897583.133
1431,4352329107678.359
427,4700803068894.642
263,3288065823382.802
598,3685764027405.4688
2895,3994952848981.9053
687,3645428586207.2676
1822,3403061050565.2744
2191,3977163468794.1504
179,3715187413115.413
1009,3630224919722.3677
2010,3745558813600.446
1991,4048272855873.072
1411,3678597689954.4443
1721,4008008887637.636
1144,4320322343018.6797
593,4267328403183.431
575,4142386390043.619
1249,4247236384072.1377
1604,3280885991517.7793
1064,4660443118256.514
1923,3484048975119.183
1988,3219411902207.792
2325,4039677934615.4395
114,4397647957215.664
2700,4105154252717.748
217,3807198579066.7017
343,3767970307396.872
386,4462526042162.47
2005,4230154761873.227
2908,3391822482760.303
1814,3890302389947.0713
2446,6139301493507.494
208,4678304641166.953
1679,3768671926556.2373
822,4233527927729.416
6,4136172798354.616
